"commit","id","name","node_id","serialVersionUID","tarball_url","zipball_url"
"Commit [sha=2152a6a1ea3db59fcc626fe8129d6fc175e0df66, url=https://api.github.com/repos/WordPress/WordPress/commits/2152a6a1ea3db59fcc626fe8129d6fc175e0df66]","60de44d7d7d62a2031d11a46","4.7.4","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC43LjQ=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.7.4","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.7.4"
"Commit [sha=79fb97127e41b7849bae378d904138ca8a4f92bd, url=https://api.github.com/repos/WordPress/WordPress/commits/79fb97127e41b7849bae378d904138ca8a4f92bd]","60de4571f41b58030f40baa4","4.3.9","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4zLjk=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.3.9","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.3.9"
"Commit [sha=d5e880e8a9e6ce4581147d8b7c378f3f35b0f595, url=https://api.github.com/repos/WordPress/WordPress/commits/d5e880e8a9e6ce4581147d8b7c378f3f35b0f595]","60de44d7d7d62a2031d11a65","3.8.35","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy44LjM1","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.8.35","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.8.35"
"Commit [sha=83d9538492fd10f3619ffa3b53bb39ce1f9cb2ba, url=https://api.github.com/repos/WordPress/WordPress/commits/83d9538492fd10f3619ffa3b53bb39ce1f9cb2ba]","60de470b1778ce403de1056e","4.7.11","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC43LjEx","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.7.11","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.7.11"
"Commit [sha=c614a8265e2ec30439bba51705009de03e53c117, url=https://api.github.com/repos/WordPress/WordPress/commits/c614a8265e2ec30439bba51705009de03e53c117]","60de46811778ce403de102ad","5.2.10","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS4yLjEw","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.2.10","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.2.10"
"Commit [sha=85f46be51969c643a6ed22b6bb6c4bda3c298fa2, url=https://api.github.com/repos/WordPress/WordPress/commits/85f46be51969c643a6ed22b6bb6c4bda3c298fa2]","60de4569f41b58030f40b982","4.0.19","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4wLjE5","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.0.19","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.0.19"
"Commit [sha=30742153b7d72ce352ac895faaedf3a29d0683d1, url=https://api.github.com/repos/WordPress/WordPress/commits/30742153b7d72ce352ac895faaedf3a29d0683d1]","60de4573f41b58030f40bb2f","5.1.8","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS4xLjg=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.1.8","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.1.8"
"Commit [sha=31cbc32eecd06ac70ffd7f4f8f8f2cd8e3d96877, url=https://api.github.com/repos/WordPress/WordPress/commits/31cbc32eecd06ac70ffd7f4f8f8f2cd8e3d96877]","60de4573f41b58030f40bb28","2.2.3","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi4yLjM=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.2.3","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.2.3"
"Commit [sha=c9761f3c1377d337ba83bed7c69dac46f614cac6, url=https://api.github.com/repos/WordPress/WordPress/commits/c9761f3c1377d337ba83bed7c69dac46f614cac6]","60de4821d827e516288d50cd","4.7.12","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC43LjEy","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.7.12","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.7.12"
"Commit [sha=b63b879b7c8d45430e5b7b3d745935e27aff3ddb, url=https://api.github.com/repos/WordPress/WordPress/commits/b63b879b7c8d45430e5b7b3d745935e27aff3ddb]","60de4821d827e516288d50ce","3.8.5","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy44LjU=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.8.5","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.8.5"
"Commit [sha=d509524f0452e2f8c7c58216cbedc3fd7bffa58b, url=https://api.github.com/repos/WordPress/WordPress/commits/d509524f0452e2f8c7c58216cbedc3fd7bffa58b]","60de456bf41b58030f40b98d","4.0.27","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4wLjI3","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.0.27","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.0.27"
"Commit [sha=baf70aa0d29e8b0c3d3d57c09d9c036993ffc35d, url=https://api.github.com/repos/WordPress/WordPress/commits/baf70aa0d29e8b0c3d3d57c09d9c036993ffc35d]","60de44d7d7d62a2031d11b93","2.9.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi45LjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.9.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.9.2"
"Commit [sha=5f62cd1566d27be22d961c2a9af31f077efdecf7, url=https://api.github.com/repos/WordPress/WordPress/commits/5f62cd1566d27be22d961c2a9af31f077efdecf7]","60de456df41b58030f40b9d8","5.5.1","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS41LjE=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.5.1","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.5.1"
